ADMINISTRATOR,CODIST,SCHOOL NAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE,FAX,ESU AFFILIATION,COUNTY,EMAIL
Michelle   Lundgren,28-0796-000,OMAHA STREET SCHOOL,3223 NORTH 45TH ST,,OMAHA,NE,68104-3711,(402)451-5234,(402)451-7048,00,DOUGLAS,mlundgren@graceu.edu
Michael Ashton,28-0702-000,JESUIT ACADEMY,2311 N 22ND ST,,OMAHA,NE,68110-2207,(402)346-4464,(402)341-1817,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0708-000,ST STEPHEN THE MARTYR SCHOOL,16701 S ST,,OMAHA,NE,68135-2309,(402)896-0754,(402)861-4640,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0709-000,ALL SAINTS CATHOLIC SCHOOL,1335 S 10TH ST,,OMAHA,NE,68108-3603,(402)346-5757,(402)346-8794,00,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0712-000,CHRIST THE KING CATHOLIC SCH,831 S 88TH ST,,OMAHA,NE,68114-4200,(402)391-0977,(402)391-2418,00,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0716-000,DUCHESNE ACADEMY,3601 BURT ST,,OMAHA,NE,68131-1999,(402)558-3800,(402)558-0051,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0723-000,ST PATRICK'S CATHOLIC SCHOOL,20500 W MAPLE,,ELKHORN,NE,68022-0010,(402)289-5407,(402)763-9530,00,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0726-000,MARIAN HIGH SCHOOL,7400 MILITARY AVENUE,,OMAHA,NE,68134-3398,(402)571-2618,(402)571-1952,00,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0727-000,MARY OUR QUEEN ELEM SCHOOL,3405 S 119TH ST,,OMAHA,NE,68144-4631,(402)333-8663,(402)334-3948,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0729-000,ST VINCENT DE PAUL ELEMENTARY,14330 EAGLE RUN DR,,OMAHA,NE,68164-5425,(402)492-2111,(402)496-9933,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0733-000,MT MICHAEL BENEDICTINE H S,22520 MT MICHAEL RD,,ELKHORN,NE,68022-3400,(402)289-2541,(402)289-4539,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0736-000,OUR LADY OF LOURDES ELEM SCH,2124 S 32ND AVE,,OMAHA,NE,68105-3198,(402)341-5604,(402)341-9957,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0740-000,RONCALLI CATHOLIC HIGH SCHOOL,6401 SORENSEN PARKWAY,,OMAHA,NE,68152-2241,(402)571-7670,(402)571-3216,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0748-000,ST CECILIA CATHEDRAL SCHOOL,3869 WEBSTER ST,,OMAHA,NE,68131-1899,(402)556-6655,(402)502-3048,00,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0752-000,ST JAMES-SETON ELEMENTARY SCH,4720 N 90TH ST,,OMAHA,NE,68134-2796,(402)572-0339,(402)572-0347,00,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0753-000,ST JOAN OF ARC ELEMENTARY SCH,7430 HASCALL,,OMAHA,NE,68124-3499,(402)393-2314,(402)393-4405,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0755-000,ST MARGARET MARY ELEM SCHOOL,123 N 61ST ST,,OMAHA,NE,68132-2196,(402)551-6663,(402)551-5631,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0759-000,STS PETER & PAUL ELEM SCHOOL,3619 X ST,,OMAHA,NE,68107-3247,(402)731-4713,(402)731-2633,00,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0761-000,ST PIUS X / ST LEO ELEMENTARY,6905 BLONDO ST,,OMAHA,NE,68104-4600,(402)551-6667,(402)551-8123,03,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0763-000,ST ROBERT BELLARMINE ELEM,11900 PACIFIC ST,,OMAHA,NE,68154-3469,(402)334-1929,(402)333-7188,00,DOUGLAS,mwashton@archomaha.org
Michael Ashton,28-0765-000,ST THOMAS MORE ELEM SCHOOL,3515 S 48TH AVE,,OMAHA,NE,68106-4532,(402)551-9504,(402)551-9507,03,DOUGLAS,mwashton@archomaha.org
Victor Fordyce,28-0767-000,OMAHA CHRISTIAN ACADEMY,10244 WIESMAN DRIVE,,OMAHA,NE,68134-1063,(402)399-9565,(402)399-0248,03,DOUGLAS,vfordyce@ocamail.org
Kristi   Gibbs,28-0706-000,BROWNELL TALBOT SCHOOLS,400 N HAPPY HOLLOW BLVD,,OMAHA,NE,68132-2198,(402)556-3772,(402)553-2994,03,DOUGLAS,kristi.gibbs@brownell.edu
JAMES SUTFIN,28-0017-000,MILLARD PUBLIC SCHOOLS,5606 S 147TH ST,,OMAHA,NE,68137-2604,(402)715-8200,(402)715-8409,03,DOUGLAS,jsutfin@mpsomaha.org
BARY HABROCK,28-0010-000,ELKHORN PUBLIC SCHOOLS,20650 GLENN ST,PO BOX 439,ELKHORN,NE,68022-0439,(402)289-2579,(402)289-2585,03,DOUGLAS,bhabrock@epsne.org
Don   Weber,28-0754-000,CONCORDIA LUTHERAN SCHOOLS OF OMAHA,15656 FORT STREET,,OMAHA,NE,68116-3201,(402)965-3534,(402)965-9310,00,DOUGLAS,dweber55@yahoo.com
MARK ADLER,28-0054-000,RALSTON PUBLIC SCHOOLS,8545 PARK DR,,RALSTON,NE,68127-3690,(402)331-4700,(402)331-4843,03,DOUGLAS,mark_adler@ralstonschools.org
BLANE MCCANN,28-0066-000,WESTSIDE COMMUNITY SCHOOLS,909 S 76TH ST,,OMAHA,NE,68114-4599,(402)390-2100,(402)390-2120,03,DOUGLAS,mccann.blane@westside66.net
Patrick   Slattery,28-0713-000,CREIGHTON PREPARATORY SCHOOL,7400 WESTERN AVE,,OMAHA,NE,68114-1878,(402)393-1190,(402)343-1889,00,DOUGLAS,pjslattery@archomaha.org
Patrick   Slattery,28-0741-000,SACRED HEART ELEMENTARY SCHOOL,2205 BINNEY ST,,OMAHA,NE,68110-2037,(402)455-5858,(402)451-7480,19,DOUGLAS,pjslattery@archomaha.org
Melissa Poloncic,28-0015-000,DOUGLAS CO WEST COMMUNITY SCHS,,PO BOX 378,VALLEY,NE,68064-0378,(402)359-2583,(402)359-4371,03,DOUGLAS,mpoloncic@dcwest.org
,28-0602-000,NE CORRECTIONAL YOUTH FACILITY,2610 N 20TH ST EAST,,OMAHA,NE,68110-2730,(402)636-8690,,19,DOUGLAS,
,28-0707-000,PHOENIX ACADEMY DAY SCHOOL,1110 N 66TH STREET,,OMAHA,NE,68132-1108,(402)390-0556,(402)614-1716,00,DOUGLAS,
,28-0711-000,CHILDREN'S ROOM,7302 BURT STREET,,OMAHA,NE,68114-3212,(402)551-1440,(402)397-5417,00,DOUGLAS,
,28-0718-000,GETHSEMANE LUTHERAN ELEMENTARY,4040 N 108TH ST,,OMAHA,NE,68164-2349,(402)493-2550,(402)493-5427,03,DOUGLAS,
,28-0719-000,GOOD SHEPHERD ELEMENTARY SCH,5071 CENTER,,OMAHA,NE,68106-3155,(402)553-6760,,00,DOUGLAS,
,28-0720-000,HOLY CROSS CATHOLIC SCHOOL,1502 S 48TH ST,,OMAHA,NE,68106-2599,(402)551-3773,(402)556-1896,03,DOUGLAS,
,28-0722-000,HOLY NAME ELEMENTARY SCHOOL,2901 FONTENELLE BLVD,,OMAHA,NE,68104-4501,(402)451-5403,(402)453-7950,00,DOUGLAS,
,28-0725-000,MADONNA SCHOOL,6402 N 71ST PLAZA,,OMAHA,NE,68104-4615,(402)556-1883,(402)556-7332,19,DOUGLAS,
,28-0728-000,OMAHA MEMORIAL SCHOOL OF S D A,840 N 72ND,,OMAHA,NE,68114-3241,(402)397-4642,(402)393-0125,00,DOUGLAS,
,28-0730-000,MERCY HIGH SCHOOL,1501 S 48TH ST,,OMAHA,NE,68106-2598,(402)553-9424,(402)553-0394,00,DOUGLAS,
,28-0731-000,MONTESSORI EDUCATIONAL CNTRS,2111 S. 67TH STREET, #300,OMAHA,NE,68106-,(402)393-1311,(402)513-8196,00,DOUGLAS,
,28-0737-000,MONTESSORI LEARN CTR OF DUNDEE,5103 CAPITOL AVE,,OMAHA,NE,68132-2851,(402)558-6018,(000)000-0000,00,DOUGLAS,
,28-0744-000,PRIMROSE SCHOOL OF LEGACY,17440 WRIGHT STREET,,OMAHA,NE,68130-2896,(402)334-3337,(402)884-8816,00,DOUGLAS,
,28-0746-000,ST BERNARD ELEMENTARY SCHOOL,3604 N 65TH ST,,OMAHA,NE,68104-3218,(402)553-4993,(402)551-4939,00,DOUGLAS,
,28-0749-000,SKUTT CATHOLIC HIGH SCHOOL,3131 S 156TH ST,,OMAHA,NE,68130-1907,(402)333-0818,(402)333-1790,03,DOUGLAS,
,28-0751-000,ST GERALD ELEMENTARY SCHOOL,7857 LAKEVIEW ST,,RALSTON,NE,68127-2832,(402)331-4223,(402)331-4523,03,DOUGLAS,
,28-0757-000,ST PAUL LUTHERAN ELEM SCHOOL,5020 GRAND AVE,,OMAHA,NE,68104-2367,(402)451-2865,(402)451-6816,00,DOUGLAS,
,28-0760-000,ST PHILIP NERI ELEM SCHOOL,8202 N 31ST STREET,,OMAHA,NE,68112-2204,(402)315-3500,(402)453-3620,03,DOUGLAS,
,28-0766-000,ALLELUIA! KINDERGARTEN AND PRESCHOOLS,1200 N 181 COURT,,ELKHORN,NE,68022-3813,(402)943-9165,(402)333-4482,03,DOUGLAS,
,28-0768-000,LEGACY PRIMARY SCHOOL,6860 NORTH 166TH AVENUE,,OMAHA,NE,68116-,(402)884-2242,(402)884-2230,03,DOUGLAS,
,28-0775-000,NELSON MANDELA ELEMENTARY,6316 NO. 30 STREET,,OMAHA,NE,68111-1208,(402)991-1444,,03,DOUGLAS,
,28-0776-000,FRIEDEL JEWISH ACADEMY,335 S 132ND ST,,OMAHA,NE,68154-2106,(402)334-0517,(402)334-6455,03,DOUGLAS,
,28-0780-000,LIFEGATE CHRISTIAN SCHOOL,15555 WEST DODGE RD,,OMAHA,NE,68154-2099,(402)333-5153,(402)758-6980,00,DOUGLAS,
,28-0782-000,LA BELLA VITA MONTESSORI SCHOOL, LLC,2207 N 168TH AVENUE,,OMAHA,NE,,(402)502-5396,,00,DOUGLAS,
,28-0790-000,MONTESSORI PARENT'S CO-OP,3713 N. 52ND ST.,,OMAHA,NE,68104-,(402)345-2001,(402)345-6438,00,DOUGLAS,
,28-0791-000,ST WENCESLAUS SCHOOL,15353 PACIFIC ST,,OMAHA,NE,68154-2871,(402)330-4356,(402)884-4417,03,DOUGLAS,
,28-4004-000,NOVA ALTERNATIVE SCHOOL,8502 MORMON BRIDGE RD,,OMAHA,NE,68152-1929,(402)991-8551,(402)344-2569,00,DOUGLAS,
,28-4005-000,BOYS TOWN INTERIM PRG SCHS,13803 FLANAGAN BLVD,,BOYS TOWN,NE,68010-7505,(402)498-7273,(402)964-7171,00,DOUGLAS,
,28-4007-000,DOUGLAS COUNTY YOUTH CENTER,1301 S 41ST STREET,,OMAHA,NE,68105-1862,(402)444-4767,(402)444-4252,19,DOUGLAS,
,28-4008-000,UTA HALEE ACADEMY PROGRAM,10625 CALHOUN ROAD,,OMAHA,NE,68112-0034,(402)905-9656,(402)000-0000,00,DOUGLAS,
,28-4015-000,ALEGENT/IMMANUEL RTC,6901 N 72ND STREET,,OMAHA,NE,68122-1709,(402)572-2040,(402)572-2895,00,DOUGLAS,
,28-4020-000,YOUTH LINKS-HEARTLAND FAMILY,4318 FORT STREET,,OMAHA,NE,68111-,(402)552-7030,,00,DOUGLAS,
,28-4021-000,OMAHA HOME FOR BOYS SCHOOL,4343 N 52ND ST,,OMAHA,NE,68104-,(402)457-7108,(402)457-7024,00,DOUGLAS,
James Kent,29-0117-000,DUNDY CO STRATTON PUBLIC SCHS,400 9TH AVE WEST,PO BOX 586,BENKELMAN,NE,69021-0586,(308)423-2738,(308)423-2711,15,DUNDY,jim@dcstigers.org
Bryce Jorgenson,30-0054-000,SHICKLEY PUBLIC SCHOOLS,104 E MURRAY,PO BOX 407,SHICKLEY,NE,68436-0407,(402)627-3375,(402)627-2003,06,FILLMORE,bjorgenson@longhornpower.org
,30-0600-000,GENEVA NORTH SCHOOL,855 NORTH 1ST,,GENEVA,NE,68361-9547,(402)759-3164,(402)759-4804,06,FILLMORE,
,30-0701-000,GRACE LUTHERAN ELEMENTARY SCH,434 N 16TH ST,,GENEVA,NE,68361-1601,(402)759-4517,,06,FILLMORE,
Mark Norvell,30-0025-000,FILLMORE CENTRAL PUBLIC SCHS,1410 L STREET,,GENEVA,NE,68361-1599,(402)759-4955,(402)759-4038,06,FILLMORE,mark.norvell@fillmorecentral.org
Paul Sheffield,30-0001-000,EXETER-MILLIGAN PUBLIC SCHOOLS,318 S RIVER AVE,PO BOX 139,EXETER,NE,68351-0139,(402)266-5911,(402)266-4811,06,FILLMORE,psheffie@emwolves.net
Candace Conradt,31-0506-000,FRANKLIN PUBLIC SCHOOLS,1001 M ST,,FRANKLIN,NE,68939-1120,(308)425-6283,(308)425-6553,11,FRANKLIN,candace.conradt@fpsflyers.org
Alan Garey,32-0125-000,MEDICINE VALLEY PUBLIC SCHOOLS,303 CROOK AVE,PO BOX 9,CURTIS,NE,69025-0009,(308)367-4106,(308)367-4108,15,FRONTIER,agarey@medvalley.org
Cynthia Huff,32-0046-000,MAYWOOD PUBLIC SCHOOLS,,PO BOX 46,MAYWOOD,NE,69038-0046,(308)362-4223,(308)362-4454,15,FRONTIER,cynthia.huff@maywoodtigers.org
Steve Sampy,32-0095-000,EUSTIS-FARNAM PUBLIC SCHOOLS,504 N INGALL ST,PO BOX 9,EUSTIS,NE,69028-0009,(308)486-3991,(308)486-5659,11,FRONTIER,steve.sampy@efknights.org
Darren Tobey,33-0540-000,SOUTHERN VALLEY SCHOOLS,43739 HWY 89,,OXFORD,NE,68967-2711,(308)868-2222,(308)868-2223,11,FURNAS,darren.tobey@sveagles.org
George Griffith,33-0018-000,ARAPAHOE PUBLIC SCHOOLS,610 WALNUT,PO BOX 360,ARAPAHOE,NE,68922-0360,(308)962-5458,(308)962-7481,11,FURNAS,george.griffith@arapahoewarriors.org
Gregory Shepard,33-0021-000,CAMBRIDGE PUBLIC SCHOOLS,1003 NELSON ST,PO BOX 100,CAMBRIDGE,NE,69022-0100,(308)697-3322,(308)697-4880,11,FURNAS,gregory.shepard@cpstrojans.org
Michael Meyerle,34-0100-000,DILLER-ODELL PUBLIC SCHOOLS,506 PERRY ST,PO BOX 188,ODELL,NE,68415-0188,(402)766-4171,(402)766-4211,05,GAGE,mmeyerle@dillerodell.org
PATRICK NAUROTH,34-0015-000,BEATRICE PUBLIC SCHOOLS,320 N 5TH STREET,,BEATRICE,NE,68310-2957,(402)223-1500,(402)223-1509,05,GAGE,pnauroth@bpsnebr.org
Rev John Perkinton,34-0701-000,ST JOSEPH ELEMENTARY SCHOOL,420 N 6TH ST,,BEATRICE,NE,68310-2999,(402)223-5033,,05,GAGE,fr.john-perkinton@cdolinc.net
Don   Weber,34-0702-000,ST PAUL'S LUTHERAN ELEM SCHOOL,930 PRAIRIE LANE ST,,BEATRICE,NE,68310-2647,(402)223-3414,(402)223-3418,05,GAGE,dweber55@yahoo.com
Randy Page,34-0034-000,FREEMAN PUBLIC SCHOOLS,415 EIGHTH ST,PO BOX 259,ADAMS,NE,68301-0259,(402)988-2525,(402)988-3475,05,GAGE,rpage@freemanschools.net
Christopher Prososki,34-0001-000,SOUTHERN SCHOOL DIST 1,115 S 11TH ST,PO BOX 237,WYMORE,NE,68466-0237,(402)645-3326,(402)645-8049,05,GAGE,cprososki@southernschools.org
Paula Sissel,35-0001-000,GARDEN COUNTY SCHOOLS,200 W 4TH ST,PO BOX 230,OSHKOSH,NE,69154-0230,(308)772-3242,(308)772-3039,13,GARDEN,psissel@gceagles.org
Daniel Bird,36-0100-000,BURWELL PUBLIC SCHOOLS,190 I ST,PO BOX 670,BURWELL,NE,68823-0670,(308)346-4150,(308)346-5430,10,GARFIELD,dan.bird@burwellpublicschools.com
Daren Hatch,37-0030-000,ELWOOD PUBLIC SCHOOLS,502 FIRST AVE,PO BOX 107,ELWOOD,NE,68937-0107,(308)785-2491,(308)785-2322,11,GOSPER,daren.hatch@elwoodpirates.org
Troy Unzicker,38-0011-000,HYANNIS AREA SCHOOLS,332 EAST HWY 2,PO BOX 286,HYANNIS,NE,69350-0286,(308)458-2202,(308)458-2227,16,GRANT,tunzicker@apschools.org
Amy Malander,39-0060-000,CENTRAL VALLEY PUBLIC SCHOOLS,304 NORTH SHANNON STREET,PO BOX 160,GREELEY,NE,68842-0160,(308)428-3145,(308)428-5395,10,GREELEY,amy.malander@centralvps.org
,39-0702-000,SPALDING ACADEMY,130 W MARGUERITE,PO BOX 310,SPALDING,NE,68665-0310,(308)497-2103,(308)497-2105,10,GREELEY,
,40-0701-000,CENTRAL CATHOLIC SCHOOLS,1200 RUBY AVE,,GRAND ISLAND,NE,68803-3746,(308)384-2440,(308)389-3274,10,HALL,
,40-0704-000,TRINITY LUTHERAN ELEM SCHOOL,208 W 13TH ST,,GRAND ISLAND,NE,68801-3881,(308)382-5274,(308)389-2418,10,HALL,
,40-0705-000,PLATTE VALLEY SDA ELEMENTARY SCHOOL,636 S SHADY BEND RD,,GRAND ISLAND,NE,68801-8565,(308)382-3281,,10,HALL,
,40-0707-000,NEW HOPE CHRISTIAN ELEM SCHOOL,610 S HIGH ST,,CAIRO,NE,68824-9613,(308)485-4169,(308)226-2270,00,HALL,
,40-0708-000,GRAND ISLAND CHRISTIAN SCHOOL,1804 W STATE ST,,GRAND ISLAND,NE,68803-2716,(308)384-2755,(308)389-3286,10,HALL,
,40-0711-000,HEARTLAND LUTHERAN HIGH SCHOOL,3900 W HUSKER HWY,,GRAND ISLAND,NE,68803-6001,(308)385-3900,(308)381-7415,10,HALL,
Matthew Fisher,40-0082-000,NORTHWEST PUBLIC SCHOOLS,2710 N NORTH RD,,GRAND ISLAND,NE,68803-1199,(308)385-6398,(308)385-6393,10,HALL,mfisher@ginorthwest.org
James Haley,40-0083-000,WOOD RIVER RURAL SCHOOLS,13800 W WOOD RIVER RD,PO BOX 518,WOOD RIVER,NE,68883-0518,(308)583-2249,(308)583-2395,10,HALL,jhaley@wrrsd.org
Kirk Russell,40-0126-000,DONIPHAN-TRUMBULL PUBLIC SCHS,302 W PLUM,PO BOX 300,DONIPHAN,NE,68832-0300,(402)845-2282,(402)845-6688,09,HALL,krussell@dtcardinals.org
Tawana Grover,40-0002-000,GRAND ISLAND PUBLIC SCHOOLS,,PO BOX 4904,GRAND ISLAND,NE,68802-4904,(308)385-5900,(308)385-5949,10,HALL,tgrover@gips.org
Damon Mcdonald,41-0504-000,AURORA PUBLIC SCHOOLS,300 L ST,,AURORA,NE,68818-1902,(402)694-6923,(402)694-5097,09,HAMILTON,dmcdonald@4rhuskies.org
Don   Weber,41-0701-000,IMMANUEL LUTHERAN ELEM SCHOOL,2406 E 26TH RD,,POLK,NE,68654-1702,(402)765-7253,(402)765-7253,07,HAMILTON,dweber55@yahoo.com
Stuart Lenz,41-0002-000,GILTNER PUBLIC SCHOOLS,#2 WEST 6TH RD,PO BOX 160,GILTNER,NE,68841-0160,(402)849-2238,(402)849-2440,09,HAMILTON,slenz@giltnerschool.us
Holly Herzberg,41-0091-000,HAMPTON PUBLIC SCHOOLS,458 5TH ST,,HAMPTON,NE,68843-9211,(402)725-3117,(402)725-3334,09,HAMILTON,hherzberg@hamptonhawks.us
,41-0702-000,HAMPTON LUTHERAN ELEM SCHOOL,732 N 3RD ST,,HAMPTON,NE,68843-9243,(402)725-3347,(402)725-3341,09,HAMILTON,
Jon Davis,42-0002-000,ALMA PUBLIC SCHOOLS,,PO BOX 170,ALMA,NE,68920-0170,(308)928-2131,(308)928-2763,11,HARLAN,jon.davis@almacardinals.org
David Primavera,43-0079-000,HAYES CENTER PUBLIC SCHOOLS,501 TROTH ST,PO BOX 8,HAYES CENTER,NE,69032-0008,(308)286-5600,(308)286-5629,15,HAYES,tprimavera@hccardinals.org
Robert Sattler,44-0070-000,HITCHCOCK CO SCH SYSTEM,312 WEST 3RD,PO BOX 368,TRENTON,NE,69044-0368,(308)334-5575,(308)334-5381,15,HITCHCOCK,rsattler@hcfalcons.org
AMY SHANE,45-0007-000,O'NEILL PUBLIC SCHOOLS,410 E BENTON,PO BOX 230,O'NEILL,NE,68763-0230,(402)336-3775,(402)336-4890,08,HOLT,amyshane@oneillschools.org
Robert Hanzlik,45-0044-000,STUART PUBLIC SCHOOLS,,PO BOX 99,STUART,NE,68780-0099,(402)924-3302,(402)924-3676,08,HOLT,rhanzlik@stuartbroncos.org
Tedsen Hillman,45-0029-000,EWING PUBLIC SCHOOLS,416 N SPRUCE ST,PO BOX 98,EWING,NE,68735-0098,(402)626-7235,(402)626-7236,08,HOLT,thillman@esu8.org
Tedsen Hillman,45-0137-000,CHAMBERS PUBLIC SCHOOLS,201 SOUTH A ST,PO BOX 218,CHAMBERS,NE,68725-0218,(402)482-5233,(402)482-5234,08,HOLT,thillman@esu8.org
Michael Ashton,45-0701-000,ST MARY'S SCHOOLS,300 N 4TH ST,,O'NEILL,NE,68763-1520,(402)336-4455,(402)336-1281,08,HOLT,mwashton@archomaha.org
Michael Ashton,45-0703-000,ST JOSEPH'S ELEMENTARY SCHOOL,102 N TULLER ST,PO BOX 69,ATKINSON,NE,68713-0069,(402)925-2104,(402)925-2104,08,HOLT,mwashton@archomaha.org
Paul Pistulka,45-0239-000,WEST HOLT PUBLIC SCHOOLS,1000 N MAIN,PO BOX 457,ATKINSON,NE,68713-0457,(402)925-2890,(402)925-2177,08,HOLT,paupistulka@westholt.org
Mark Sievering,46-0001-000,MULLEN PUBLIC SCHOOLS,404 N BLAINE,PO BOX 127,MULLEN,NE,69152-0127,(308)546-2223,(308)546-2209,16,HOOKER,mark.sievering@mullenpublicschools.org
Julie Otero,47-0100-000,CENTURA PUBLIC SCHOOLS,201 N HWY 11,PO BOX 430,CAIRO,NE,68824-0430,(308)485-4258,(308)485-4780,10,HOWARD,julie.otero@centuraps.org
John Poppert,47-0001-000,ST PAUL PUBLIC SCHOOLS,1305 HOWARD AVE,PO BOX 325,ST PAUL,NE,68873-0325,(308)754-4433,(308)754-5374,10,HOWARD,jpoppert8@gmail.com
Matthew Palmer,47-0103-000,ELBA PUBLIC SCHOOLS,711 CAROLINE ST,PO BOX 100,ELBA,NE,68835-0100,(308)863-2228,(308)863-2329,10,HOWARD,matthew.palmer@esu10.org
Stephen Grizzle,48-0008-000,FAIRBURY PUBLIC SCHOOLS,703 K ST,,FAIRBURY,NE,68352-2199,(402)729-6104,(402)729-6392,05,JEFFERSON,sgrizzle@fairburyjeffs.org
Randall Schlueter,48-0300-000,TRI COUNTY PUBLIC SCHOOLS,72520 HWY 103,,DEWITT,NE,68341-4502,(402)683-2037,(402)683-2116,05,JEFFERSON,randy.schlueter@tricountyschools.org
Randall Kort,48-0303-000,MERIDIAN PUBLIC SCHOOLS,72380 560TH AVE,PO BOX 190,DAYKIN,NE,68338-0190,(402)446-7265,(402)446-7246,05,JEFFERSON,rkort@meridianmustangs.org
,48-0702-000,ST PAUL'S LUTHERAN ELEM SCHOOL,108 E HWY 4,PO BOX 247,PLYMOUTH,NE,68424-0247,(402)656-4465,,05,JEFFERSON,
Jack Moles,49-0050-000,JOHNSON CO CENTRAL PUBLIC SCHS,358 N 6TH,PO BOX 338,TECUMSEH,NE,68450-0338,(402)335-3320,(402)335-3346,04,JOHNSON,jack.moles@jccentral.org
Rev John Perkinton,49-0702-000,ST ANDREW ELEMENTARY SCHOOL,179 N 6TH ST,PO BOX 386,TECUMSEH,NE,68450-0386,(402)335-2234,(402)335-2246,04,JOHNSON,fr.john-perkinton@cdolinc.net
Dottie Heusman,49-0033-000,STERLING PUBLIC SCHOOLS,250 MAIN ST,PO BOX 39,STERLING,NE,68443-0039,(402)866-4761,(402)866-4771,04,JOHNSON,dheusman@sterlingpublicschools.com
Carl Dietz,50-0001-000,WILCOX-HILDRETH PUBLIC SCHOOLS,404 E SAPP ST,PO BOX 190,WILCOX,NE,68982-0190,(308)478-5265,(308)478-5260,11,KEARNEY,carl.dietz@whfalcons.org
Robert Gregory,50-0501-000,AXTELL COMMUNITY SCHOOLS,500 MAIN ST,PO BOX 97,AXTELL,NE,68924-0097,(308)743-2414,(308)743-2417,11,KEARNEY,rob.gregory@axtellwildcats.org
Melissa Wheelock,50-0503-000,MINDEN PUBLIC SCHOOLS,520 W 3RD,PO BOX 301,MINDEN,NE,68959-0301,(308)832-2440,(308)832-2567,11,KEARNEY,melissa.wheelock@mindenwhippets.org
Don   Weber,51-0702-000,ST PAUL'S LUTHERAN ELEM SCHOOL,312 W 3RD ST,,OGALLALA,NE,69153-1618,(308)284-2944,(308)284-2688,16,KEITH,dweber55@yahoo.com
Michael Apple,51-0001-000,OGALLALA PUBLIC SCHOOLS,801 EAST O ST,,OGALLALA,NE,69153-1755,(308)284-4060,(308)284-3981,16,KEITH,mikeapple@opsd.org
Delbert Dack,51-0006-000,PAXTON CONSOLIDATED SCHOOLS,308 N ELM,PO BOX 368,PAXTON,NE,69155-0368,(308)239-4283,(308)239-4359,16,KEITH,del.dack@paxtonschools.org
,51-0701-000,ST LUKE ELEMENTARY SCHOOL,406 E 3RD ST,,OGALLALA,NE,69153-2637,(308)284-4841,(308)284-9839,16,KEITH,
Dennis Peters,52-0100-000,KEYA PAHA COUNTY SCHOOLS,101 FOOTBALL AVE,PO BOX 219,SPRINGVIEW,NE,68778-0219,(402)497-3501,(402)497-4321,17,KEYA PAHA,dpeters@kpschools.org
Marshall Lewis,53-0001-000,KIMBALL PUBLIC SCHOOLS,901 S NADINE,,KIMBALL,NE,69145-1399,(308)235-2188,(308)235-3269,13,KIMBALL,mlewis@kpslonghorns.org
Shane Alexander,54-0586-000,BLOOMFIELD COMMUNITY SCHOOLS,311 E BENTON,PO BOX 308,BLOOMFIELD,NE,68718-0308,(402)373-4800,(855)372-4017,01,KNOX,salexander@blfdbees.org
Margaret Sandoz,54-0501-000,NIOBRARA PUBLIC SCHOOLS,247 N HWY 12,PO BOX 310,NIOBRARA,NE,68760-0310,(402)857-3323,(402)857-3877,01,KNOX,msandoz@esu1.org
Robby Thompson,54-0013-000,CREIGHTON COMMUNITY PUBLIC SCHOOLS,,PO BOX 10,CREIGHTON,NE,68729-0010,(402)358-5000,(402)358-3804,01,KNOX,robthompson@chsbulldogs.org
Bradley Hoesing,54-0576-000,WAUSA PUBLIC SCHOOLS,300 S BISMARCK,PO BOX 159,WAUSA,NE,68786-0159,(402)586-2255,(402)586-2406,01,KNOX,bradhoesing@wausaschools.org
Kari Daniels,54-0505-000,SANTEE COMMUNITY SCHOOLS,206 FRAZIER AVE EAST,,NIOBRARA,NE,68760-7213,(402)857-2741,(402)857-2743,01,KNOX,kdaniels@santeeschools.org
,54-0701-000,ST LUDGER ELEMENTARY SCHOOL,410 BRYANT AVE,,CREIGHTON,NE,68729-2919,(402)358-3501,(402)358-3559,01,KNOX,
,54-0702-000,ST ROSE OF LIMA ELEM SCHOOL,1302 W 5TH ST,PO BOX 176,CROFTON,NE,68730-0176,(402)388-4393,(402)388-4393,01,KNOX,
Corey Dahl,54-0096-000,CROFTON COMMUNITY SCHOOLS,89048 N HWY 121,PO BOX 429,CROFTON,NE,68730-0429,(402)388-2440,(402)388-4265,01,KNOX,cdahl@croftonwarriors.org
